Variable Name;Variable File;Variable Line;Init Fault Time;End Fault Time;Fault Mode;dirName
ncells;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/clamr_cpuonly.cpp;285;20;25;Single bit-flip;codes/clamr/20-25/dump_4/clamr_xeon_phi_20-25/2017_02_20/2017_02_20_15_02_27/2017_02_20_19_55_32_clamr_openmponly_mic0-mic0.ece.neu.edu.log
ncycle;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/graphics/graphics.c;749;20;25;Double bit-flip;codes/clamr/20-25/dump_4/clamr_xeon_phi_20-25/2017_02_22/2017_02_22_07_45_21/2017_02_22_12_39_13_clamr_openmponly_mic0-mic0.ece.neu.edu.log
md5_file;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/graphics/graphics.c;183;20;25;Random bit-flip;codes/clamr/20-25/dump_1/clamr_xeon_phi_20-25/2017_03_02/2017_03_02_23_22_32/2017_03_03_04_10_31_clamr_openmponly_mic0-mic0.ece.neu.edu.log
_IO_file_jumps;fileops.c;1548;20;25;Random bit-flip;codes/clamr/20-25/dump_1/clamr_xeon_phi_20-25/2017_03_02/2017_03_02_16_54_00/2017_03_02_21_46_08_clamr_openmponly_mic0-mic0.ece.neu.edu.log
add_count;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/mesh.cpp;2905;20;25;Random bit-flip;codes/clamr/20-25/dump_1/clamr_xeon_phi_20-25/2017_03_02/2017_03_02_16_57_54/2017_03_02_21_50_38_clamr_openmponly_mic0-mic0.ece.neu.edu.log
nrht_old;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/mesh.cpp;3188;20;25;Random bit-flip;codes/clamr/20-25/dump_1/clamr_xeon_phi_20-25/2017_03_03/2017_03_03_05_13_08/2017_03_03_10_07_40_clamr_openmponly_mic0-mic0.ece.neu.edu.log
set_graphics_cell_data;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/clamr_cpuonly.cpp;117;20;25;Single bit-flip;codes/clamr/20-25/dump_7/clamr_xeon_phi_20-25/2017_03_06/2017_03_06_17_09_43/2017_03_06_22_04_03_clamr_openmponly_mic0-mic0.ece.neu.edu.log
face_based;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/clamr_cpuonly.cpp;131;20;25;Random bit-flip;codes/clamr/20-25/dump_7/clamr_xeon_phi_20-25/2017_03_08/2017_03_08_06_20_27/2017_03_08_11_15_07_clamr_openmponly_mic0-mic0.ece.neu.edu.log
fp;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/graphics/graphics.c;457;20;25;Double bit-flip;codes/clamr/20-25/dump_7/clamr_xeon_phi_20-25/2017_03_08/2017_03_08_02_39_04/2017_03_08_07_28_22_clamr_openmponly_mic0-mic0.ece.neu.edu.log
step1_jumps;vfprintf.c;1345;20;25;Double bit-flip;codes/clamr/20-25/dump_7/clamr_xeon_phi_20-25/2017_03_08/2017_03_08_02_27_07/2017_03_08_07_18_47_clamr_openmponly_mic0-mic0.ece.neu.edu.log
new_ic;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/mesh.cpp;2906;20;25;Random bit-flip;codes/clamr/20-25/dump_7/clamr_xeon_phi_20-25/2017_03_07/2017_03_07_00_26_36/2017_03_07_05_21_13_clamr_openmponly_mic0-mic0.ece.neu.edu.log
