Variable Name;Variable File;Variable Line;Init Fault Time;End Fault Time;Fault Mode;dirName
nrht_old;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/mesh.cpp;3188;20;25;Single bit-flip;codes/clamr/20-25/dump_4/clamr_xeon_phi_20-25/2017_02_20/2017_02_20_11_33_00/2017_02_20_16_24_54_clamr_openmponly_mic0-mic0.ece.neu.edu.log
graphics_ymax;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/graphics/graphics.c;188;20;25;Single bit-flip;codes/clamr/20-25/dump_4/clamr_xeon_phi_20-25/2017_02_20/2017_02_20_18_39_05/2017_02_20_23_32_55_clamr_openmponly_mic0-mic0.ece.neu.edu.log
ncycle;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/clamr_cpuonly.cpp;177;20;25;Single bit-flip;codes/clamr/20-25/dump_4/clamr_xeon_phi_20-25/2017_02_22/2017_02_22_01_02_39/2017_02_22_05_56_48_clamr_openmponly_mic0-mic0.ece.neu.edu.log
PADDING;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/graphics/graphics.c;1092;20;25;Single bit-flip;codes/clamr/20-25/dump_4/clamr_xeon_phi_20-25/2017_02_22/2017_02_22_04_18_20/2017_02_22_09_10_34_clamr_openmponly_mic0-mic0.ece.neu.edu.log
graphics_xmin;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/graphics/graphics.c;188;20;25;Double bit-flip;codes/clamr/20-25/dump_4/clamr_xeon_phi_20-25/2017_02_21/2017_02_21_09_37_00/2017_02_21_14_25_39_clamr_openmponly_mic0-mic0.ece.neu.edu.log
circ_radius;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/kdtree/KDTree.c;617;20;25;Zero bit-flip;codes/clamr/20-25/dump_1/clamr_xeon_phi_20-25/2017_03_02/2017_03_02_19_54_22/2017_03_03_00_47_51_clamr_openmponly_mic0-mic0.ece.neu.edu.log
yconversion;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/graphics/graphics.c;176;20;25;Single bit-flip;codes/clamr/20-25/dump_7/clamr_xeon_phi_20-25/2017_03_08/2017_03_08_13_58_07/2017_03_08_18_48_55_clamr_openmponly_mic0-mic0.ece.neu.edu.log
cycle_reorder;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/clamr_cpuonly.cpp;157;20;25;Random bit-flip;codes/clamr/20-25/dump_8/clamr_xeon_phi_20-25/2017_03_07/2017_03_07_17_27_38/2017_03_07_22_25_59_clamr_openmponly_mic0.local.log
graphics_xmin;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/graphics/graphics.c;188;20;25;Single bit-flip;codes/clamr/20-25/dump_8/clamr_xeon_phi_20-25/2017_03_07/2017_03_07_09_43_12/2017_03_07_14_40_57_clamr_openmponly_mic0.local.log
cycle_reorder;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/clamr_cpuonly.cpp;157;20;25;Double bit-flip;codes/clamr/20-25/dump_3/clamr_xeon_phi_20-25/2017_02_28/2017_02_28_20_28_20/2017_03_01_01_27_08_clamr_openmponly_mic0.local.log
