bitflips:;6643
SDCs:;175
Crashes:;1003
Simultaneous SDCs and Crashes:;7


Fault Modes #flips:
Double bit-flip;1883
Random bit-flip;1462
Single bit-flip;1957
Zero bit-flip;1341
Fault Modes #SDC:
Double bit-flip;57
Random bit-flip;31
Single bit-flip;50
Zero bit-flip;37
Fault Modes #Crashes:
Double bit-flip;290
Random bit-flip;250
Single bit-flip;296
Zero bit-flip;167

Time Frame #flips:
0-5;404
10-15;434
15-20;439
20-25;365
25-30;1135
30-35;1247
35-40;1145
40-49;1024
5-10;450
Time Frame #SDC:
0-5;15
10-15;26
15-20;26
20-25;13
25-30;24
30-35;16
35-40;24
40-49;20
5-10;11
Time Frame #Crashes:
0-5;69
10-15;122
15-20;65
20-25;39
25-30;147
30-35;170
35-40;151
40-49;136
5-10;104

Variables that caused SDCs:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
68.75;32;22;calc_neighbor_type;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/mesh.cpp;141
58.82352941176471;34;20;cycle_reorder;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/clamr_cpuonly.cpp;157
90.9090909090909;11;10;circ_radius;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/kdtree/KDTree.c;617
100.0;9;9;graphics_xmin;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/graphics/graphics.c;188
25.0;36;9;ncycle;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/clamr_cpuonly.cpp;177
53.84615384615385;13;7;sigma;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/clamr_cpuonly.cpp;393
19.444444444444446;36;7;localStencil;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/clamr_cpuonly.cpp;130
60.0;10;6;PADDING;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/graphics/graphics.c;1092
100.0;5;5;yconversion;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/graphics/graphics.c;176
71.42857142857143;7;5;fill_value;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/state.cpp;968
31.25;16;5;g;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/clamr_cpuonly.cpp;392
100.0;5;5;graphics_ymax;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/graphics/graphics.c;188
33.33333333333333;12;4;circ_radius;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/state.cpp;967
23.52941176470588;17;4;stack_ptr;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/kdtree/KDTree.c;180
30.0;10;3;stack;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/kdtree/KDTree.c;182
25.0;8;2;x;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/kdtree/KDTree.c;618
9.523809523809524;21;2;next_node;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/kdtree/KDTree.c;180
50.0;4;2;it;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/hsfc/hsfcsort.c;123
66.66666666666666;3;2;Hic;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/state.cpp;1223
40.0;5;2;xconversion;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/graphics/graphics.c;175
33.33333333333333;6;2;background;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/state.cpp;969
8.333333333333332;12;1;nrht_old;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/mesh.cpp;3188
50.0;2;1;level;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/state.cpp;2962
5.555555555555555;18;1;parent;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/kdtree/KDTree.c;180
2.941176470588235;34;1;niter;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/clamr_cpuonly.cpp;142
