Variable Name;Variable File;Variable Line;Init Fault Time;End Fault Time;Fault Mode;dirName
i;dgemm.c;183;7;14;Single bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_03_02/2017_03_02_07_53_44/2017_03_02_12_52_55_openmpDGEMM_mic1.local.log
j;dgemm.c;183;7;14;Single bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_03_02/2017_03_02_07_53_16/2017_03_02_12_52_01_openmpDGEMM_mic1.local.log
ii;dgemm.c;183;7;14;Double bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_03_02/2017_03_02_01_52_29/2017_03_02_06_50_39_openmpDGEMM_mic1.local.log
CC;dgemm.c;187;7;14;Double bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_03_02/2017_03_02_04_35_06/2017_03_02_09_31_30_openmpDGEMM_mic1.local.log
kg;dgemm.c;183;7;14;Single bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_03_02/2017_03_02_04_40_17/2017_03_02_09_34_46_openmpDGEMM_mic1.local.log
AA;dgemm.c;187;7;14;Single bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_03_01/2017_03_01_02_04_56/2017_03_01_07_03_24_openmpDGEMM_mic1.local.log
kg;dgemm.c;183;7;14;Double bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_03_01/2017_03_01_13_42_12/2017_03_01_18_40_57_openmpDGEMM_mic1.local.log
ii;dgemm.c;183;7;14;Single bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_03_01/2017_03_01_19_51_18/2017_03_02_00_45_20_openmpDGEMM_mic1.local.log
k;dgemm.c;183;7;14;Double bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_03_01/2017_03_01_10_50_00/2017_03_01_15_48_46_openmpDGEMM_mic1.local.log
i;dgemm.c;183;7;14;Single bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_03_01/2017_03_01_19_57_30/2017_03_02_00_50_57_openmpDGEMM_mic1.local.log
k;dgemm.c;183;7;14;Double bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_03_01/2017_03_01_13_43_59/2017_03_01_18_41_52_openmpDGEMM_mic1.local.log
BB;dgemm.c;187;7;14;Double bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_03_01/2017_03_01_22_51_14/2017_03_02_03_50_08_openmpDGEMM_mic1.local.log
kg;dgemm.c;183;7;14;Single bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_03_01/2017_03_01_10_46_16/2017_03_01_15_38_33_openmpDGEMM_mic1.local.log
k;dgemm.c;183;7;14;Single bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_03_01/2017_03_01_10_38_53/2017_03_01_15_37_21_openmpDGEMM_mic1.local.log
k;dgemm.c;183;7;14;Double bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_03_01/2017_03_01_10_46_44/2017_03_01_15_45_55_openmpDGEMM_mic1.local.log
iterations;dgemm.c;284;7;14;Single bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_03_01/2017_03_01_07_37_35/2017_03_01_12_31_14_openmpDGEMM_mic1.local.log
i;dgemm.c;183;7;14;Double bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_03_01/2017_03_01_22_58_13/2017_03_02_03_56_49_openmpDGEMM_mic1.local.log
i;dgemm.c;183;7;14;Double bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_03_01/2017_03_01_05_18_09/2017_03_01_10_17_21_openmpDGEMM_mic1.local.log
k;dgemm.c;183;7;14;Double bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_03_01/2017_03_01_02_12_20/2017_03_01_07_09_46_openmpDGEMM_mic1.local.log
k;dgemm.c;183;7;14;Double bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_03_01/2017_03_01_23_01_02/2017_03_02_03_57_52_openmpDGEMM_mic1.local.log
kk;dgemm.c;183;7;14;Single bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_02_28/2017_02_28_11_06_55/2017_02_28_16_01_33_openmpDGEMM_mic1.local.log
jj;dgemm.c;183;7;14;Double bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_02_28/2017_02_28_17_05_36/2017_02_28_21_58_55_openmpDGEMM_mic1.local.log
jj;dgemm.c;183;7;14;Single bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_02_28/2017_02_28_11_18_01/2017_02_28_16_10_18_openmpDGEMM_mic1.local.log
k;dgemm.c;183;7;14;Single bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_02_28/2017_02_28_07_34_22/2017_02_28_12_29_01_openmpDGEMM_mic1.local.log
ig;dgemm.c;183;7;14;Double bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_02_28/2017_02_28_01_58_59/2017_02_28_06_57_28_openmpDGEMM_mic1.local.log
ig;dgemm.c;183;7;14;Double bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_02_28/2017_02_28_11_19_22/2017_02_28_16_17_41_openmpDGEMM_mic1.local.log
jj;dgemm.c;183;7;14;Double bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_02_28/2017_02_28_07_27_16/2017_02_28_12_25_35_openmpDGEMM_mic1.local.log
ii;dgemm.c;183;7;14;Double bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_02_28/2017_02_28_20_18_11/2017_03_01_01_15_38_openmpDGEMM_mic1.local.log
ii;dgemm.c;183;7;14;Single bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_02_28/2017_02_28_14_15_40/2017_02_28_19_13_42_openmpDGEMM_mic1.local.log
jj;dgemm.c;183;7;14;Double bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_02_28/2017_02_28_02_05_41/2017_02_28_07_03_24_openmpDGEMM_mic1.local.log
ii;dgemm.c;183;7;14;Double bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_02_28/2017_02_28_07_29_21/2017_02_28_12_26_56_openmpDGEMM_mic1.local.log
kg;dgemm.c;183;7;14;Single bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_02_28/2017_02_28_14_26_56/2017_02_28_19_24_49_openmpDGEMM_mic1.local.log
k;dgemm.c;183;7;14;Single bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_02_28/2017_02_28_14_21_09/2017_02_28_19_19_55_openmpDGEMM_mic1.local.log
