Variable Name;Variable File;Variable Line;Init Fault Time;End Fault Time;Fault Mode;dirName
ig;dgemm.c;183;7;14;Single bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_03_02/2017_03_02_04_26_58/2017_03_02_09_25_26_openmpDGEMM_mic1.local.log
C;dgemm.c;185;7;14;Double bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_03_01/2017_03_01_13_37_17/2017_03_01_18_33_42_openmpDGEMM_mic1.local.log
ig;dgemm.c;183;7;14;Double bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_02_28/2017_02_28_04_48_57/2017_02_28_09_42_43_openmpDGEMM_mic1.local.log
kk;dgemm.c;183;7;14;Double bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_02_28/2017_02_28_20_22_31/2017_03_01_01_21_08_openmpDGEMM_mic1.local.log
jg;dgemm.c;183;7;14;Single bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_02_28/2017_02_28_16_51_07/2017_02_28_21_47_31_openmpDGEMM_mic1.local.log
C;dgemm.c;185;7;14;Single bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_02_28/2017_02_28_20_19_14/2017_03_01_01_17_51_openmpDGEMM_mic1.local.log
CC;dgemm.c;187;7;14;Double bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_02_28/2017_02_28_11_07_58/2017_02_28_16_06_35_openmpDGEMM_mic1.local.log
CC;dgemm.c;187;7;14;Double bit-flip;codes/dgemm/7-14/dump_4/dgemm_xeon_phi_7-14/2017_02_27/2017_02_27_23_14_39/2017_02_28_04_11_21_openmpDGEMM_mic1.local.log
ig;dgemm.c;183;7;14;Random bit-flip;codes/dgemm/7-14/dump_1/dgemm_xeon_phi_7-14/2017_03_02/2017_03_02_17_38_12/2017_03_02_22_39_29_openmpDGEMM_mic0-mic1.ece.neu.edu.log
jg;dgemm.c;183;7;14;Random bit-flip;codes/dgemm/7-14/dump_1/dgemm_xeon_phi_7-14/2017_03_02/2017_03_02_22_51_53/2017_03_03_03_53_11_openmpDGEMM_mic0-mic1.ece.neu.edu.log
ii;dgemm.c;183;7;14;Zero bit-flip;codes/dgemm/7-14/dump_1/dgemm_xeon_phi_7-14/2017_03_02/2017_03_02_23_59_13/2017_03_03_04_59_03_openmpDGEMM_mic0-mic1.ece.neu.edu.log
kg;dgemm.c;183;7;14;Random bit-flip;codes/dgemm/7-14/dump_1/dgemm_xeon_phi_7-14/2017_03_02/2017_03_02_15_09_22/2017_03_02_20_10_13_openmpDGEMM_mic0-mic1.ece.neu.edu.log
CC;dgemm.c;187;7;14;Random bit-flip;codes/dgemm/7-14/dump_1/dgemm_xeon_phi_7-14/2017_03_02/2017_03_02_17_37_09/2017_03_02_22_38_26_openmpDGEMM_mic0-mic1.ece.neu.edu.log
i;dgemm.c;183;7;14;Zero bit-flip;codes/dgemm/7-14/dump_1/dgemm_xeon_phi_7-14/2017_03_02/2017_03_02_16_44_58/2017_03_02_21_45_05_openmpDGEMM_mic0-mic1.ece.neu.edu.log
