Variable Name;Variable File;Variable Line;Init Fault Time;End Fault Time;Fault Mode;dirName
vect;hotspot_check.c;190;3;6;Single bit-flip;codes/hotspot/3-6/dump_4/hotspot_xeon_phi_3-6/2017_02_20/2017_02_20_19_38_05/2017_02_21_00_32_02_openMPHotspot_mic0-mic0.ece.neu.edu.log
fp;hotspot_check.c;193;3;6;Double bit-flip;codes/hotspot/3-6/dump_4/hotspot_xeon_phi_3-6/2017_02_20/2017_02_20_19_36_51/2017_02_21_00_31_51_openMPHotspot_mic0-mic0.ece.neu.edu.log
grid_cols;hotspot_check.c;190;3;6;Double bit-flip;codes/hotspot/3-6/dump_4/hotspot_xeon_phi_3-6/2017_02_20/2017_02_20_12_40_12/2017_02_20_17_35_09_openMPHotspot_mic0-mic0.ece.neu.edu.log
i;hotspot_check.c;192;3;6;Double bit-flip;codes/hotspot/3-6/dump_4/hotspot_xeon_phi_3-6/2017_02_20/2017_02_20_12_38_15/2017_02_20_17_33_13_openMPHotspot_mic0-mic0.ece.neu.edu.log
i;hotspot_check.c;192;3;6;Double bit-flip;codes/hotspot/3-6/dump_4/hotspot_xeon_phi_3-6/2017_02_22/2017_02_22_08_47_03/2017_02_22_13_41_04_openMPHotspot_mic0-mic0.ece.neu.edu.log
endptr;strtod_l.c;495;3;6;Single bit-flip;codes/hotspot/3-6/dump_4/hotspot_xeon_phi_3-6/2017_02_22/2017_02_22_12_38_04/2017_02_22_17_33_06_openMPHotspot_mic0-mic0.ece.neu.edu.log
i;hotspot_check.c;192;3;6;Double bit-flip;codes/hotspot/3-6/dump_4/hotspot_xeon_phi_3-6/2017_02_22/2017_02_22_01_36_36/2017_02_22_06_31_19_openMPHotspot_mic0-mic0.ece.neu.edu.log
i;hotspot_check.c;192;3;6;Single bit-flip;codes/hotspot/3-6/dump_4/hotspot_xeon_phi_3-6/2017_02_22/2017_02_22_05_05_33/2017_02_22_09_59_39_openMPHotspot_mic0-mic0.ece.neu.edu.log
arg;isoc99_sscanf.c;27;3;6;Double bit-flip;codes/hotspot/3-6/dump_4/hotspot_xeon_phi_3-6/2017_02_21/2017_02_21_07_01_28/2017_02_21_11_56_29_openMPHotspot_mic0-mic0.ece.neu.edu.log
endptr;strtod_l.c;495;3;6;Single bit-flip;codes/hotspot/3-6/dump_4/hotspot_xeon_phi_3-6/2017_02_21/2017_02_21_06_59_35/2017_02_21_11_54_34_openMPHotspot_mic0-mic0.ece.neu.edu.log
num_omp_threads;hotspot_check.c;40;3;6;Single bit-flip;codes/hotspot/3-6/dump_4/hotspot_xeon_phi_3-6/2017_02_21/2017_02_21_03_20_21/2017_02_21_08_14_16_openMPHotspot_mic0-mic0.ece.neu.edu.log
