Variable Name;Variable File;Variable Line;Init Fault Time;End Fault Time;Fault Mode;dirName
chip_width;hotspot_check.c;35;3;6;Single bit-flip;codes/hotspot/3-6/dump_4/hotspot_xeon_phi_3-6/2017_02_20/2017_02_20_12_39_25/2017_02_20_17_33_26_openMPHotspot_mic0-mic0.ece.neu.edu.log
chip_height;hotspot_check.c;34;3;6;Single bit-flip;codes/hotspot/3-6/dump_4/hotspot_xeon_phi_3-6/2017_02_21/2017_02_21_10_37_40/2017_02_21_15_32_19_openMPHotspot_mic0-mic0.ece.neu.edu.log
val;hotspot_check.c;195;3;6;Double bit-flip;codes/hotspot/3-6/dump_4/hotspot_xeon_phi_3-6/2017_02_21/2017_02_21_14_20_18/2017_02_21_19_14_59_openMPHotspot_mic0-mic0.ece.neu.edu.log
chip_height;hotspot_check.c;34;3;6;Double bit-flip;codes/hotspot/3-6/dump_4/hotspot_xeon_phi_3-6/2017_02_21/2017_02_21_07_00_44/2017_02_21_11_54_47_openMPHotspot_mic0-mic0.ece.neu.edu.log
retval;strtod_l.c;512;3;6;Double bit-flip;codes/hotspot/3-6/dump_4/hotspot_xeon_phi_3-6/2017_02_21/2017_02_21_18_19_46/2017_02_21_23_14_18_openMPHotspot_mic0-mic0.ece.neu.edu.log
amb_temp;hotspot_check.c;38;3;6;Double bit-flip;codes/hotspot/3-6/dump_4/hotspot_xeon_phi_3-6/2017_02_21/2017_02_21_10_37_07/2017_02_21_15_31_46_openMPHotspot_mic0-mic0.ece.neu.edu.log
amb_temp;hotspot_check.c;38;3;6;Single bit-flip;codes/hotspot/3-6/dump_4/hotspot_xeon_phi_3-6/2017_02_21/2017_02_21_03_20_54/2017_02_21_08_15_33_openMPHotspot_mic0-mic0.ece.neu.edu.log
amb_temp;hotspot_check.c;38;3;6;Single bit-flip;codes/hotspot/3-6/dump_4/hotspot_xeon_phi_3-6/2017_02_21/2017_02_21_22_26_54/2017_02_22_03_21_16_openMPHotspot_mic0-mic0.ece.neu.edu.log
arg;isoc99_sscanf.c;27;3;6;Random bit-flip;codes/hotspot/3-6/dump_1/hotspot_xeon_phi_3-6/2017_03_02/2017_03_02_14_57_46/2017_03_02_19_57_15_openMPHotspot_mic0.local.log
amb_temp;hotspot_check.c;38;3;6;Random bit-flip;codes/hotspot/3-6/dump_7/hotspot_xeon_phi_3-6/2017_03_06/2017_03_06_22_55_01/2017_03_07_03_54_29_openMPHotspot_mic0.local.log
vect;hotspot_check.c;190;3;6;Double bit-flip;codes/hotspot/3-6/dump_7/hotspot_xeon_phi_3-6/2017_03_06/2017_03_06_19_07_28/2017_03_07_00_06_54_openMPHotspot_mic0.local.log
vect;hotspot_check.c;190;3;6;Single bit-flip;codes/hotspot/3-6/dump_7/hotspot_xeon_phi_3-6/2017_03_06/2017_03_06_15_01_03/2017_03_06_20_00_11_openMPHotspot_mic0.local.log
index;hotspot_check.c;192;3;6;Single bit-flip;codes/hotspot/3-6/dump_7/hotspot_xeon_phi_3-6/2017_03_06/2017_03_06_15_01_54/2017_03_06_20_01_03_openMPHotspot_mic0.local.log
amb_temp;hotspot_check.c;38;3;6;Double bit-flip;codes/hotspot/3-6/dump_7/hotspot_xeon_phi_3-6/2017_03_08/2017_03_08_04_35_26/2017_03_08_09_34_55_openMPHotspot_mic0.local.log
grid_cols;hotspot_check.c;190;3;6;Random bit-flip;codes/hotspot/3-6/dump_7/hotspot_xeon_phi_3-6/2017_03_08/2017_03_08_09_05_27/2017_03_08_14_04_56_openMPHotspot_mic0.local.log
chip_height;hotspot_check.c;34;3;6;Random bit-flip;codes/hotspot/3-6/dump_7/hotspot_xeon_phi_3-6/2017_03_07/2017_03_07_14_58_53/2017_03_07_19_57_37_openMPHotspot_mic0.local.log
amb_temp;hotspot_check.c;38;3;6;Random bit-flip;codes/hotspot/3-6/dump_7/hotspot_xeon_phi_3-6/2017_03_07/2017_03_07_14_56_21/2017_03_07_19_55_05_openMPHotspot_mic0.local.log
grid_rows;hotspot_check.c;190;3;6;Zero bit-flip;codes/hotspot/3-6/dump_7/hotspot_xeon_phi_3-6/2017_03_07/2017_03_07_03_03_31/2017_03_07_08_02_59_openMPHotspot_mic0.local.log
retval;strtod_l.c;512;3;6;Zero bit-flip;codes/hotspot/3-6/dump_7/hotspot_xeon_phi_3-6/2017_03_07/2017_03_07_18_58_29/2017_03_07_23_57_55_openMPHotspot_mic0.local.log
chip_width;hotspot_check.c;35;3;6;Single bit-flip;codes/hotspot/3-6/dump_7/hotspot_xeon_phi_3-6/2017_03_07/2017_03_07_07_02_16/2017_03_07_12_01_44_openMPHotspot_mic0.local.log
t_chip;hotspot_check.c;33;3;6;Single bit-flip;codes/hotspot/3-6/dump_7/hotspot_xeon_phi_3-6/2017_03_07/2017_03_07_07_01_44/2017_03_07_12_01_12_openMPHotspot_mic0.local.log
amb_temp;hotspot_check.c;38;3;6;Double bit-flip;codes/hotspot/3-6/dump_7/hotspot_xeon_phi_3-6/2017_03_07/2017_03_07_11_02_44/2017_03_07_16_02_11_openMPHotspot_mic0.local.log
chip_height;hotspot_check.c;34;3;6;Single bit-flip;codes/hotspot/3-6/dump_3/hotspot_xeon_phi_3-6/2017_03_02/2017_03_02_11_23_53/2017_03_02_16_23_22_openMPHotspot_mic0.local.log
sim_time;hotspot_check.c;230;3;6;Double bit-flip;codes/hotspot/3-6/dump_3/hotspot_xeon_phi_3-6/2017_03_02/2017_03_02_11_22_31/2017_03_02_16_22_00_openMPHotspot_mic0.local.log
grid_cols;hotspot_check.c;190;3;6;Double bit-flip;codes/hotspot/3-6/dump_3/hotspot_xeon_phi_3-6/2017_03_01/2017_03_01_08_47_15/2017_03_01_13_46_42_openMPHotspot_mic0.local.log
amb_temp;hotspot_check.c;38;3;6;Single bit-flip;codes/hotspot/3-6/dump_3/hotspot_xeon_phi_3-6/2017_03_01/2017_03_01_08_45_35/2017_03_01_13_45_02_openMPHotspot_mic0.local.log
amb_temp;hotspot_check.c;38;3;6;Double bit-flip;codes/hotspot/3-6/dump_3/hotspot_xeon_phi_3-6/2017_02_28/2017_02_28_19_06_19/2017_03_01_00_05_47_openMPHotspot_mic0.local.log
temp;hotspot_check.c;231;3;6;Double bit-flip;codes/hotspot/3-6/dump_3/hotspot_xeon_phi_3-6/2017_02_28/2017_02_28_01_03_15/2017_02_28_06_02_45_openMPHotspot_mic0.local.log
t_chip;hotspot_check.c;33;3;6;Double bit-flip;codes/hotspot/3-6/dump_3/hotspot_xeon_phi_3-6/2017_02_28/2017_02_28_23_52_35/2017_03_01_04_51_19_openMPHotspot_mic0.local.log
num_omp_threads;hotspot_check.c;40;3;6;Double bit-flip;codes/hotspot/3-6/dump_3/hotspot_xeon_phi_3-6/2017_02_28/2017_02_28_05_14_50/2017_02_28_10_13_45_openMPHotspot_mic0.local.log
amb_temp;hotspot_check.c;38;3;6;Double bit-flip;codes/hotspot/3-6/dump_3/hotspot_xeon_phi_3-6/2017_02_28/2017_02_28_01_05_35/2017_02_28_06_05_04_openMPHotspot_mic0.local.log
flags;vfscanf.c;215;3;6;Double bit-flip;codes/hotspot/3-6/dump_3/hotspot_xeon_phi_3-6/2017_02_28/2017_02_28_23_54_56/2017_03_01_04_53_53_openMPHotspot_mic0.local.log
retval;strtod_l.c;512;3;6;Random bit-flip;codes/hotspot/3-6/dump_5/hotspot_xeon_phi_3-6/2017_02_25/2017_02_25_03_46_01/2017_02_25_08_44_58_openMPHotspot_mic0.local.log
num;strtod_l.c;500;3;6;Zero bit-flip;codes/hotspot/3-6/dump_5/hotspot_xeon_phi_3-6/2017_02_25/2017_02_25_06_45_56/2017_02_25_11_45_00_openMPHotspot_mic0.local.log
amb_temp;hotspot_check.c;38;3;6;Zero bit-flip;codes/hotspot/3-6/dump_5/hotspot_xeon_phi_3-6/2017_02_25/2017_02_25_00_54_19/2017_02_25_05_53_25_openMPHotspot_mic0.local.log
grid_rows;hotspot_check.c;190;3;6;Random bit-flip;codes/hotspot/3-6/dump_5/hotspot_xeon_phi_3-6/2017_02_25/2017_02_25_03_15_03/2017_02_25_08_13_59_openMPHotspot_mic0.local.log
retval;strtod_l.c;512;3;6;Zero bit-flip;codes/hotspot/3-6/dump_5/hotspot_xeon_phi_3-6/2017_02_25/2017_02_25_13_47_59/2017_02_25_18_47_05_openMPHotspot_mic0.local.log
chip_width;hotspot_check.c;35;3;6;Random bit-flip;codes/hotspot/3-6/dump_5/hotspot_xeon_phi_3-6/2017_02_25/2017_02_25_23_44_37/2017_02_26_04_43_43_openMPHotspot_mic0.local.log
