Variable Name;Variable File;Variable Line;Init Fault Time;End Fault Time;Fault Mode;dirName
__GI__IO_file_jumps;fileops.c;1525;3;6;Double bit-flip;codes/lavamd/3-6/dump_4/lavamd_xeon_phi_3-6/2017_02_20/2017_02_20_23_39_55/2017_02_21_04_34_59_openmpLavaMD_mic0-mic0.ece.neu.edu.log
par_cpu;main_check.c;55;3;6;Double bit-flip;codes/lavamd/3-6/dump_4/lavamd_xeon_phi_3-6/2017_02_20/2017_02_20_16_05_50/2017_02_20_21_00_16_openmpLavaMD_mic0-mic0.ece.neu.edu.log
rv_cpu;main_check.c;58;3;6;Double bit-flip;codes/lavamd/3-6/dump_4/lavamd_xeon_phi_3-6/2017_02_21/2017_02_21_14_38_53/2017_02_21_19_33_50_openmpLavaMD_mic0-mic0.ece.neu.edu.log
file;main_check.c;139;3;6;Random bit-flip;codes/lavamd/3-6/dump_7/lavamd_xeon_phi_3-6/2017_03_23/2017_03_23_14_13_36/2017_03_23_18_09_23_openmpLavaMD_mic0-mic0.ece.neu.edu.log
_IO_file_jumps_maybe_mmap;fileops.c;1574;3;6;Zero bit-flip;codes/lavamd/3-6/dump_5/lavamd_xeon_phi_3-6/2017_03_08/2017_03_08_15_42_12/2017_03_08_20_37_38_openmpLavaMD_mic0-mic0.ece.neu.edu.log
iteractions;main_check.c;41;3;6;Double bit-flip;codes/lavamd/3-6/dump_5/lavamd_xeon_phi_3-6/2017_03_07/2017_03_07_07_28_08/2017_03_07_12_22_52_openmpLavaMD_mic0-mic0.ece.neu.edu.log
_itoa_lower_digits;dl-minimal.c;382;3;6;Double bit-flip;codes/lavamd/3-6/dump_2/lavamd_xeon_phi_3-6/2017_03_01/2017_03_01_00_48_57/2017_03_01_05_43_30_openmpLavaMD_mic0-mic0.ece.neu.edu.log
rv_cpu;main_check.c;58;3;6;Double bit-flip;codes/lavamd/3-6/dump_2/lavamd_xeon_phi_3-6/2017_03_01/2017_03_01_06_14_00/2017_03_01_11_08_38_openmpLavaMD_mic0-mic0.ece.neu.edu.log
thread_ran;pthread_create.c;630;3;6;Random bit-flip;codes/lavamd/3-6/dump_6/lavamd_xeon_phi_3-6/2017_03_06/2017_03_06_21_28_54/2017_03_07_02_28_05_openmpLavaMD_mic0.local.log
iteractions;main_check.c;41;;;Single bit-flip;codes/lavamd/logs/2016_10_31/2016_10_31_03_28_36/2016_10_31_08_45_32_openmpLavaMD_carolxeon1-mic0.log
