Variable Name;Variable File;Variable Line;Init Fault Time;End Fault Time;Fault Mode;dirName
j_global;lud_omp.c;127;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_08_17_35/2017_02_25_13_16_37_openmpLUD_mic1.local.log
offset;lud_omp.c;45;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_23_50_30/2017_02_26_04_49_48_openmpLUD_mic1.local.log
i;lud_omp.c;127;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_22_50_04/2017_02_26_03_49_00_openmpLUD_mic1.local.log
j_global;lud_omp.c;127;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_04_47_21/2017_02_25_09_46_21_openmpLUD_mic1.local.log
size;lud_omp.c;123;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_08_18_54/2017_02_25_13_18_14_openmpLUD_mic1.local.log
chunk_idx;lud_omp.c;45;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_02_10_06/2017_02_25_07_09_08_openmpLUD_mic1.local.log
chunk_idx;lud_omp.c;45;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_02_29_07/2017_02_25_07_28_12_openmpLUD_mic1.local.log
chunk_idx;lud_omp.c;45;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_11_44_45/2017_02_25_16_43_52_openmpLUD_mic1.local.log
chunks_in_inter_row;lud_omp.c;45;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_00_06_30/2017_02_25_05_05_27_openmpLUD_mic1.local.log
chunk_idx;lud_omp.c;45;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_14_58_52/2017_02_25_19_57_56_openmpLUD_mic1.local.log
chunk_idx;lud_omp.c;45;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_03_37_56/2017_02_25_08_36_53_openmpLUD_mic1.local.log
offset;lud_omp.c;45;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_00_52_05/2017_02_25_05_51_01_openmpLUD_mic1.local.log
size;lud_omp.c;123;4;8;Double bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_21_19_47/2017_02_26_02_19_02_openmpLUD_mic1.local.log
offset;lud_omp.c;45;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_03_36_10/2017_02_25_08_35_15_openmpLUD_mic1.local.log
j;lud_omp.c;127;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_21_28_48/2017_02_26_02_27_46_openmpLUD_mic1.local.log
size;lud_omp.c;123;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_17_56_56/2017_02_25_22_56_01_openmpLUD_mic1.local.log
i;lud_omp.c;127;4;8;Single bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_19_58_59/2017_02_26_00_58_04_openmpLUD_mic1.local.log
i;lud_omp.c;127;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_13_29_38/2017_02_25_18_28_44_openmpLUD_mic1.local.log
i;lud_omp.c;127;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_01_35_19/2017_02_25_06_34_23_openmpLUD_mic1.local.log
i_global;lud_omp.c;73;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_12_54_28/2017_02_25_17_53_25_openmpLUD_mic1.local.log
j_global;lud_omp.c;127;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_07_43_49/2017_02_25_12_42_48_openmpLUD_mic1.local.log
k;lud_omp.c;127;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_12_20_34/2017_02_25_17_19_36_openmpLUD_mic1.local.log
i_global;lud_omp.c;127;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_06_50_49/2017_02_25_11_50_04_openmpLUD_mic1.local.log
chunk_idx;lud_omp.c;45;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_22_41_48/2017_02_26_03_40_53_openmpLUD_mic1.local.log
a;lud_omp.c;123;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_16_34_03/2017_02_25_21_33_13_openmpLUD_mic1.local.log
chunk_idx;lud_omp.c;45;4;8;Single bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_21_11_06/2017_02_26_02_10_10_openmpLUD_mic1.local.log
j_global;lud_omp.c;127;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_18_50_14/2017_02_25_23_49_14_openmpLUD_mic1.local.log
i;lud_omp.c;127;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_14_05_18/2017_02_25_19_04_25_openmpLUD_mic1.local.log
size;lud_omp.c;123;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_19_43_01/2017_02_26_00_42_06_openmpLUD_mic1.local.log
i_global;lud_omp.c;127;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_08_18_37/2017_02_25_13_17_54_openmpLUD_mic1.local.log
k;lud_omp.c;73;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_18_14_32/2017_02_25_23_13_52_openmpLUD_mic1.local.log
offset;lud_omp.c;45;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_08_35_43/2017_02_25_13_34_45_openmpLUD_mic1.local.log
offset;lud_omp.c;45;4;8;Single bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_20_00_02/2017_02_26_00_59_08_openmpLUD_mic1.local.log
i;lud_omp.c;127;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_23_15_40/2017_02_26_04_14_46_openmpLUD_mic1.local.log
a;lud_omp.c;123;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_17_22_05/2017_02_25_22_21_10_openmpLUD_mic1.local.log
i_global;lud_omp.c;127;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_02_45_16/2017_02_25_07_44_21_openmpLUD_mic1.local.log
chunk_idx;lud_omp.c;45;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_11_12_02/2017_02_25_16_11_20_openmpLUD_mic1.local.log
size;lud_omp.c;123;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_10_18_06/2017_02_25_15_17_26_openmpLUD_mic1.local.log
