Variable Name;Variable File;Variable Line;Init Fault Time;End Fault Time;Fault Mode;dirName
j;lud_omp.c;127;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_06_25_26/2017_02_25_11_24_25_openmpLUD_mic1.local.log
temp_top;lud_omp.c;128;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_13_47_59/2017_02_25_18_47_05_openmpLUD_mic1.local.log
sum;lud_omp.c;130;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_23_23_44/2017_02_26_04_22_43_openmpLUD_mic1.local.log
a;lud_omp.c;123;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_02_17_45/2017_02_25_07_16_50_openmpLUD_mic1.local.log
i_global;lud_omp.c;127;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_16_01_14/2017_02_25_21_00_20_openmpLUD_mic1.local.log
sum;lud_omp.c;130;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_10_00_02/2017_02_25_14_59_08_openmpLUD_mic1.local.log
i_global;lud_omp.c;127;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_07_18_18/2017_02_25_12_17_27_openmpLUD_mic1.local.log
chunk_idx;lud_omp.c;45;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_19_35_21/2017_02_26_00_34_25_openmpLUD_mic1.local.log
i_global;lud_omp.c;127;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_18_57_57/2017_02_25_23_57_02_openmpLUD_mic1.local.log
sum;lud_omp.c;130;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_22_15_31/2017_02_26_03_14_36_openmpLUD_mic1.local.log
j_global;lud_omp.c;127;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_00_14_18/2017_02_25_05_13_15_openmpLUD_mic1.local.log
offset;lud_omp.c;45;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_21_04_42/2017_02_26_02_03_39_openmpLUD_mic1.local.log
chunk_idx;lud_omp.c;45;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_04_38_19/2017_02_25_09_37_23_openmpLUD_mic1.local.log
chunk_idx;lud_omp.c;45;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_10_27_48/2017_02_25_15_26_48_openmpLUD_mic1.local.log
size;lud_omp.c;123;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_07_52_58/2017_02_25_12_52_03_openmpLUD_mic1.local.log
temp_top;lud_omp.c;128;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_01_52_38/2017_02_25_06_51_43_openmpLUD_mic1.local.log
i_global;lud_omp.c;127;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_11_19_23/2017_02_25_16_18_28_openmpLUD_mic1.local.log
temp_left;lud_omp.c;129;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_13_30_10/2017_02_25_18_29_16_openmpLUD_mic1.local.log
i_global;lud_omp.c;127;4;8;Single bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_23_32_02/2017_02_26_04_31_08_openmpLUD_mic1.local.log
i;lud_omp.c;127;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_08_09_57/2017_02_25_13_09_08_openmpLUD_mic1.local.log
j_global;lud_omp.c;127;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_14_51_11/2017_02_25_19_50_10_openmpLUD_mic1.local.log
temp_top;lud_omp.c;128;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_03_37_15/2017_02_25_08_36_21_openmpLUD_mic1.local.log
sum;lud_omp.c;130;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_09_53_01/2017_02_25_14_52_06_openmpLUD_mic1.local.log
i_global;lud_omp.c;127;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_07_35_53/2017_02_25_12_34_58_openmpLUD_mic1.local.log
sum;lud_omp.c;130;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_14_34_20/2017_02_25_19_33_23_openmpLUD_mic1.local.log
j_global;lud_omp.c;127;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_05_49_31/2017_02_25_10_48_36_openmpLUD_mic1.local.log
i;lud_omp.c;127;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_13_57_22/2017_02_25_18_56_30_openmpLUD_mic1.local.log
temp_top;lud_omp.c;128;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_18_42_31/2017_02_25_23_41_36_openmpLUD_mic1.local.log
chunk_idx;lud_omp.c;45;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_16_08_04/2017_02_25_21_07_11_openmpLUD_mic1.local.log
k;lud_omp.c;127;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_13_20_34/2017_02_25_18_19_40_openmpLUD_mic1.local.log
chunk_idx;lud_omp.c;45;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_10_46_53/2017_02_25_15_45_57_openmpLUD_mic1.local.log
offset;lud_omp.c;45;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_09_53_41/2017_02_25_14_52_39_openmpLUD_mic1.local.log
j;lud_omp.c;127;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_02_38_11/2017_02_25_07_37_09_openmpLUD_mic1.local.log
j;lud_omp.c;127;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_11_35_55/2017_02_25_16_34_53_openmpLUD_mic1.local.log
size;lud_omp.c;123;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_04_38_52/2017_02_25_09_37_57_openmpLUD_mic1.local.log
j_global;lud_omp.c;127;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_11_35_15/2017_02_25_16_34_24_openmpLUD_mic1.local.log
temp_left;lud_omp.c;129;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_10_19_53/2017_02_25_15_18_58_openmpLUD_mic1.local.log
j_global;lud_omp.c;127;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_01_46_27/2017_02_25_06_45_32_openmpLUD_mic1.local.log
k;lud_omp.c;127;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_01_28_14/2017_02_25_06_27_20_openmpLUD_mic1.local.log
chunk_idx;lud_omp.c;45;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_16_34_44/2017_02_25_21_33_40_openmpLUD_mic1.local.log
temp_top;lud_omp.c;128;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_11_04_02/2017_02_25_16_03_07_openmpLUD_mic1.local.log
j_global;lud_omp.c;127;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_00_32_59/2017_02_25_05_31_57_openmpLUD_mic1.local.log
offset;lud_omp.c;45;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_02_53_25/2017_02_25_07_52_22_openmpLUD_mic1.local.log
temp_top;lud_omp.c;128;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_02_19_34/2017_02_25_07_18_39_openmpLUD_mic1.local.log
temp_top;lud_omp.c;128;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_15_18_12/2017_02_25_20_17_16_openmpLUD_mic1.local.log
i_global;lud_omp.c;127;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_23_58_56/2017_02_26_04_58_09_openmpLUD_mic1.local.log
a;lud_omp.c;123;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_04_02_28/2017_02_25_09_01_35_openmpLUD_mic1.local.log
temp_left;lud_omp.c;129;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_18_40_06/2017_02_25_23_39_11_openmpLUD_mic1.local.log
j;lud_omp.c;127;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_01_44_42/2017_02_25_06_43_53_openmpLUD_mic1.local.log
temp_left;lud_omp.c;129;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_02_27_32/2017_02_25_07_26_38_openmpLUD_mic1.local.log
temp_left;lud_omp.c;129;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_05_48_58/2017_02_25_10_48_03_openmpLUD_mic1.local.log
i_global;lud_omp.c;127;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_06_58_44/2017_02_25_11_57_51_openmpLUD_mic1.local.log
j;lud_omp.c;127;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_06_24_06/2017_02_25_11_23_11_openmpLUD_mic1.local.log
i_global;lud_omp.c;127;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_04_20_43/2017_02_25_09_19_45_openmpLUD_mic1.local.log
sum;lud_omp.c;130;4;8;Single bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_19_58_27/2017_02_26_00_57_32_openmpLUD_mic1.local.log
sum;lud_omp.c;130;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_10_37_20/2017_02_25_15_36_25_openmpLUD_mic1.local.log
chunk_idx;lud_omp.c;45;4;8;Zero bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_09_18_05/2017_02_25_14_17_10_openmpLUD_mic1.local.log
temp_top;lud_omp.c;128;4;8;Random bit-flip;codes/lud/4-8/dump_1/lud_xeon_phi_4-8/2017_02_25/2017_02_25_09_27_24/2017_02_25_14_26_29_openmpLUD_mic1.local.log
