Variable Name;Variable File;Variable Line;Init Fault Time;End Fault Time;Fault Mode;dirName
blosum62;needle_check.cpp;80;4;8;Single bit-flip;codes/nw/4-8/dump_4/nw_xeon_phi_4-8/2017_03_02/2017_03_02_07_51_50/2017_03_02_12_45_50_openmpNW_mic0-mic0.ece.neu.edu.log
input_itemsets;needle_check.cpp;266;4;8;Double bit-flip;codes/nw/4-8/dump_4/nw_xeon_phi_4-8/2017_03_02/2017_03_02_07_50_24/2017_03_02_12_44_37_openmpNW_mic0-mic0.ece.neu.edu.log
blosum62;needle_check.cpp;80;4;8;Single bit-flip;codes/nw/4-8/dump_4/nw_xeon_phi_4-8/2017_03_02/2017_03_02_03_12_56/2017_03_02_08_06_54_openmpNW_mic0-mic0.ece.neu.edu.log
__GI__IO_file_jumps;fileops.c;1525;4;8;Double bit-flip;codes/nw/4-8/dump_4/nw_xeon_phi_4-8/2017_03_02/2017_03_02_03_14_53/2017_03_02_08_09_11_openmpNW_mic0-mic0.ece.neu.edu.log
blosum62;needle_check.cpp;80;4;8;Double bit-flip;codes/nw/4-8/dump_4/nw_xeon_phi_4-8/2017_03_01/2017_03_01_13_56_48/2017_03_01_18_50_45_openmpNW_mic0-mic0.ece.neu.edu.log
blosum62;needle_check.cpp;80;4;8;Single bit-flip;codes/nw/4-8/dump_4/nw_xeon_phi_4-8/2017_03_01/2017_03_01_23_05_18/2017_03_02_03_59_17_openmpNW_mic0-mic0.ece.neu.edu.log
appName;needle_check.cpp;294;4;8;Double bit-flip;codes/nw/4-8/dump_4/nw_xeon_phi_4-8/2017_03_01/2017_03_01_13_58_54/2017_03_01_18_53_08_openmpNW_mic0-mic0.ece.neu.edu.log
f_gold;needle_check.cpp;39;4;8;Double bit-flip;codes/nw/4-8/dump_4/nw_xeon_phi_4-8/2017_03_01/2017_03_01_01_44_40/2017_03_01_06_39_50_openmpNW_mic0-mic0.ece.neu.edu.log
__GI__IO_file_jumps;fileops.c;1525;4;8;Single bit-flip;codes/nw/4-8/dump_4/nw_xeon_phi_4-8/2017_03_01/2017_03_01_01_44_26/2017_03_01_06_38_59_openmpNW_mic0-mic0.ece.neu.edu.log
blosum62;needle_check.cpp;80;4;8;Single bit-flip;codes/nw/4-8/dump_4/nw_xeon_phi_4-8/2017_03_01/2017_03_01_18_23_14/2017_03_01_23_17_46_openmpNW_mic0-mic0.ece.neu.edu.log
