Variable Name;Variable File;Variable Line;Init Fault Time;End Fault Time;Fault Mode;dirName
input_itemsets;needle_check.cpp;266;4;8;Double bit-flip;codes/nw/4-8/dump_4/nw_xeon_phi_4-8/2017_03_01/2017_03_01_10_02_27/2017_03_01_14_56_58_openmpNW_mic0-mic0.ece.neu.edu.log
gold_itemsets;needle_check.cpp;34;4;8;Double bit-flip;codes/nw/4-8/dump_4/nw_xeon_phi_4-8/2017_02_28/2017_02_28_09_02_22/2017_02_28_13_56_57_openmpNW_mic0-mic0.ece.neu.edu.log
input_itemsets;needle_check.cpp;34;4;8;Double bit-flip;codes/nw/4-8/dump_11/nw_xeon_phi_4-8/2017_03_09/2017_03_09_20_34_42/2017_03_10_01_29_27_openmpNW_mic0-mic0.ece.neu.edu.log
input_itemsets;needle_check.cpp;34;4;8;Random bit-flip;codes/nw/4-8/dump_9/nw_xeon_phi_4-8/2017_03_07/2017_03_07_12_17_11/2017_03_07_17_11_44_openmpNW_mic0-mic0.ece.neu.edu.log
gold_itemsets;needle_check.cpp;34;4;8;Single bit-flip;codes/nw/4-8/dump_13/nw_xeon_phi_4-8/2017_03_14/2017_03_14_10_08_50/2017_03_14_14_08_04_openmpNW_mic0.local.log
input_itemsets;needle_check.cpp;266;4;8;Random bit-flip;codes/nw/4-8/dump_1/nw_xeon_phi_4-8/2017_03_02/2017_03_02_13_12_45/2017_03_02_18_11_58_openmpNW_mic0.local.log
input_itemsets;needle_check.cpp;266;4;8;Double bit-flip;codes/nw/4-8/dump_7/nw_xeon_phi_4-8/2017_03_03/2017_03_03_10_03_10/2017_03_03_14_57_11_openmpNW_mic0-mic0.ece.neu.edu.log
max_rows;needle_check.cpp;265;4;8;Single bit-flip;codes/nw/4-8/dump_12/nw_xeon_phi_4-8/2017_03_09/2017_03_09_03_14_21/2017_03_09_08_13_06_openmpNW_mic0.local.log
max_rows;needle_check.cpp;265;4;8;Double bit-flip;codes/nw/4-8/dump_12/nw_xeon_phi_4-8/2017_03_09/2017_03_09_12_44_54/2017_03_09_17_43_55_openmpNW_mic0.local.log
input_itemsets;needle_check.cpp;34;4;8;Random bit-flip;codes/nw/4-8/dump_12/nw_xeon_phi_4-8/2017_03_13/2017_03_13_16_46_58/2017_03_13_20_46_09_openmpNW_mic0.local.log
